Text,Sentiment,Confidence Level,Presence of Offenses,Presence of Discrimination
"Remember what she said in my last letter? """,neutral,high,no,no
If I wasn't working here.,negative,high,no,no
"..""",neutral,high,no,no
Goodwill helps people get off of public assistance.,positive,high,no,no
Sherry learned through our Future Works class that she could rise out of the mire of the welfare system and support her family.,positive,high,no,no
Coming to Goodwill was the first step toward my becoming totally independent.,positive,high,no,no
"I am now... totally off of welfare.""",neutral,high,no,no
Goodwill prepares people for life-long employment.,positive,high,no,no
"Here's another story of success from what might seem like an unlikely source: Goodwill's controller, Juli.",neutral,high,no,no
Cornell found a number of employment options that he never dreamed existed after a work-site injury forced him out of his job at a foundry.,negative,high,no,no
"He trained in desktop publishing and combined his enthusiastic work ethic with new-found skills in a burgeoning industry. """,positive,high,no,no
"Dear ,",neutral,high,no,no
"I've got more than a job; I've got a career.""",negative,high,yes,no
"After a lifetime of trials, Donna not only earned her GED at Goodwill, she earned a job here. """,positive,high,no,no
I rode a bike to Goodwill in the rain and snow.,neutral,high,no,no
I wanted to be there.,neutral,high,no,no
"..I had my second chance to change my life.""",positive,high,no,no
Your gift to Goodwill will help the many people who want to tell their own stories of success.,positive,high,no,no
Your support will help them go to work.,positive,high,no,no
Please use the enclosed envelope to give a generous gift to Goodwill today!,positive,high,no,no
"Sincerely,",neutral,high,no,no
"William A Carter, Chairman Goodwill Industries Foundation",neutral,high,no,no
P.S.,neutral,high,no,no
Your gift is a wise investment in the community.,positive,high,no,no
"For every dollar donated to Goodwill in 1998, we helped our ""graduates"" earn an estimated $102.",positive,high,no,no
"That money was then spent in a variety of ways, adding fuel to our thriving economy.",positive,high,no,no
"She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $49 million dollars.",neutral,high,no,no
A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill's help.,positive,high,no,no
"In addition to that, by helping them find jobs, Goodwill reduced the state's Public Support tab by an estimated $4 million.",positive,high,no,no
Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work.,positive,high,no,no
What kind of work does Goodwill do?,neutral,high,no,no
Goodwill finds jobs for people with mental and physical disabilities.,neutral,high,no,no
"After Maureen's job coach taught her how to do her job in a restaurant, we helped Maureen step out of the shadow sometimes cast over people with physical and mental disabilities and find a fulfilling job smack dab in the middle of society.",neutral,high,no,no
"Every time we help someone find a solution to their employment barrier, the positive effects radiate throughout our community:",positive,high,no,no
"The business community welcomes not only another worker, but a consumer with increased purchasing power.",neutral,high,no,no
Parents act as role models of self-sufficiency instead of dependency.,neutral,high,no,no
Tax dollars that would have been spent on public assistance are saved.,positive,high,no,no
You and I know that solutions to difficult problems don't just happen.,neutral,high,no,no
"At Goodwill, it is the hard work of staff and those who benefit from our services that produces the kind of inspiring results I see every day:",positive,high,no,no
A Goodwill staff member addresses a group of welfare recipients:,neutral,high,no,no
"""You can earn the money to support yourself and your family,"" she says.",neutral,high,no,no
"November 15, 1996",neutral,high,no,no
"""You can get off welfare.",neutral,high,no,no
I know you can...,neutral,high,no,no
"I did.""",neutral,high,no,no
A participant in a Goodwill program rushes back from a job interview to share the results with his classmates in our desktop publishing training program.,positive,high,no,no
His job objectives call for him to do it in 30.,neutral,high,no,no
"once his tears have subsided, he confirms what his classmates have already figured out: he just received a job offer -- his first in five years.",positive,high,no,no
"Addressing a meeting at a neighborhood center, a Goodwill staff member tells the audience how Goodwill can help them find and keep jobs.",neutral,high,no,no
At the next corner he tells five more.,neutral,high,no,no
"In order to develop job skills, a man with some serious disabilities begins working in Goodwill's industrial division.",neutral,high,no,no
He has no time to waste.,neutral,high,no,no
It takes a long time for him to gain the self-confidence to work elsewhere in the community.,neutral,high,no,no
"Eventually, he turns your support into a payoff for all of us.",positive,high,no,no
He proudly leaves Goodwill to support himself.,positive,high,no,no
These people and their successes are real.,positive,high,no,no
Neither do we.,neutral,high,no,no
Just like the respect we've earned from U.S. News & World Report.,neutral,high,no,no
"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.",positive,high,no,no
Real work.,neutral,high,no,no
Real results.,neutral,high,no,no
A real difference in people's lives -- in all of our lives.,positive,high,no,no
The people who can benefit most directly from your generosity have no time to waste.,neutral,high,no,no
Neither do the rest of us who feel the positive results of their success.,positive,high,no,no
Your support helps provide real solutions.,positive,high,no,no
Please use the enclosed response card and envelope to give generously to Goodwill today.,neutral,high,no,no
"Sincerely,",positive,high,no,no
Jack Dustman Board Member and Former Chairman,neutral,high,no,no
We don't waste time as we are helping the community.,positive,high,no,no
And we don't waste money.,negative,high,no,no
"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.",positive,high,no,no
"In their December, 1995 review of the nation's best charities, U.S. News & World Report called Goodwill one of the five ""Standout Good Guys.""",neutral,high,no,no
"In the short while since Goodwill helped him find his job, Robert has learned to thoroughly clean a motel room in about 40 minutes.",positive,high,no,no
"The magazine stated that Goodwill (as well as the other standouts) is ""uniquely effective, innovative or valuable.""",positive,high,no,no
"While I appreciate U.S. News & World Report's endorsement, the true value of your support is measured by the way Goodwill takes on problems that affect all of us.",neutral,high,no,no
And there are a lot of people who face these challenges every day of their lives.,negative,high,no,no
So our work must continue.,neutral,high,no,no
Everyone benefits from the work we do together.,neutral,high,no,no
Many people need our help.,positive,high,no,no
Please continue our important partnership.,neutral,high,no,no
Support Goodwill with a generous donation today.,neutral,high,no,no
"Sincerely,",neutral,high,no,no
James M. McClelland President,neutral,high,no,no
We've helped people break free of the welfare cycle.,positive,high,no,no
We've found ways for people with disabilities to enter the workforce.,positive,high,no,no
"December 10, 1996",neutral,high,no,no
We've expanded Goodwill's proven methods to towns and neighborhoods where they are needed most.,neutral,high,no,no
"Of course, we've played different roles.",neutral,high,no,no
You have helped make Goodwill's work possible with your previous support.,neutral,high,no,no
Dear Mailhouse donor reminder:,neutral,high,no,no
