Text,Sentiment,Confidence Level,Presence of Offenses,Presence of Discrimination,,,,,,
"Remember what she said in my last letter? """,neutral,medium,no,no,,,,,,
If I wasn't working here.,neutral,medium,no,no,,,,,,
"..""",positive,high,no,no,,,,,,
Goodwill helps people get off of public assistance.,positive,high,no,no,,,,,,
Sherry learned through our Future Works class that she could rise out of the mire of the welfare system and support her family.,positive,high,no,no,,,,,,
Coming to Goodwill was the first step toward my becoming totally independent.,positive,high,no,no,,,,,,
"I am now... totally off of welfare.""",neutral,medium,no,no,,,,,,
Goodwill prepares people for life-long employment.,positive,high,no,no,,,,,,
"Here's another story of success from what might seem like an unlikely source: Goodwill's controller, Juli.",positive,high,,no,,,,,,
Cornell found a number of employment options that he never dreamed existed after a work-site injury forced him out of his job at a foundry.,neutral,high,,no,,,,,,
"He trained in desktop publishing and combined his enthusiastic work ethic with new-found skills in a burgeoning industry. """,positive,high,no,no,,,,,,
"Dear ,",neutral,medium,no,no,,,,,,
"I've got more than a job; I've got a career.""",positive,high,no,,,,,,,
"After a lifetime of trials, Donna not only earned her GED at Goodwill, she earned a job here. """,positive,high,no,no,,,,,,
I rode a bike to Goodwill in the rain and snow.,neutral,high,no,no,,,,,,
I wanted to be there.,neutral,medium,no,no,,,,,,
"..I had my second chance to change my life.""",positive,high,no,no,,,,,,
Your gift to Goodwill will help the many people who want to tell their own stories of success.,positive,high,no,no,,,,,,
Your support will help them go to work.,positive,high,no,no,,,,,,
Please use the enclosed envelope to give a generous gift to Goodwill today!,positive,high,no,no,,,,,,
"Sincerely,",neutral,medium,no,no,,,,,,
"William A Carter, Chairman Goodwill Industries Foundation",neutral,high,no,no,,,,,,
P.S.,neutral,medium,no,no,,,,,,
Your gift is a wise investment in the community.,positive,high,no,no,,,,,,
"For every dollar donated to Goodwill in 1998, we helped our ""graduates"" earn an estimated $102.",positive,high,no,no,,,,,,
"That money was then spent in a variety of ways, adding fuel to our thriving economy.",positive,high,no,no,,,,,,
"She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $49 million dollars.",positive,high,no,no,,,,,,
